STATE/UT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total, LITERACY RATE %   (Male), LITERACY RATE % Female, LITERACY RATE %  Average,Area(km2),Population Male,Population Female,Population Total,Rural,Urban
ANDHRA PRADESH,2001,35,84,57,0,7,22,12,0,0,6,47,270,70.3,50.4,60.50,191792.00,38286811.00,37440730.00,76210007.00,55401067.00,20808940.00
ANDHRA PRADESH,2002,43,137,86,0,13,5,9,1,0,6,33,333,71.26,51.09,61.33,191792.00,38972144.92,38110919.07,77574166.13,56392746.10,21181420.03
ANDHRA PRADESH,2003,119,383,373,0,3,36,46,0,1,4,498,1463,72.23,51.79,62.16,191792.00,39650260.24,38774049.06,78923956.62,57373979.88,21549976.73
ANDHRA PRADESH,2004,71,363,396,0,2,26,60,0,0,4,406,1328,73.20,52.48,63.00,191792.00,40320349.64,39429330.49,80257771.48,58343600.14,21914171.34
ANDHRA PRADESH,2005,57,315,332,1,4,99,48,9,2,9,74,950,74.17,53.17,63.83,191792.00,40973539.30,40068085.64,81557947.38,59288766.46,22269180.92
ANDHRA PRADESH,2006,61,412,498,5,11,89,35,5,6,17,247,1386,75.14,53.87,64.66,191792.00,41604531.81,40685134.16,82813939.77,60201813.47,22612126.30
ANDHRA PRADESH,2007,76,363,609,0,6,35,37,0,11,21,341,1499,76.11,54.56,65.50,191792.00,42245241.60,41311685.23,84089274.44,61128921.39,22960353.05
ANDHRA PRADESH,2008,64,412,433,2,7,49,48,1,2,19,284,1321,77.07,55.26,66.33,191792.00,42849348.55,41902442.33,85291751.07,62003064.97,23288686.10
ANDHRA PRADESH,2009,77,416,632,6,13,77,28,1,1,0,468,1719,78.04,55.95,67.17,191792.00,43449239.43,42489076.52,86485835.58,62871107.88,23614727.70
ANDHRA PRADESH,2010,69,446,581,1,9,55,82,0,3,0,577,1823,79.01,56.65,68.00,191792.00,44053183.86,43079674.68,87687988.70,63745016.28,23942972.42
ANDHRA PRADESH,2011,101,646,735,7,11,53,106,0,2,15,537,2213,79.98,57.34,68.83,191792.00,44656712.48,43669866.22,88889314.14,64618323.00,24270991.14
ARUNACHAL PRADESH,2001,0,0,0,0,0,0,0,0,0,0,0,0,63.80,43.50,54.30,83743.00,573951.00,517166.00,1091117.00,870087.00,227881.00
ARUNACHAL PRADESH,2002,0,3,3,0,0,0,0,0,0,0,0,6,64.67,44.10,55.04,83743.00,584224.72,526423.27,1110647.99,885661.56,231960.07
ARUNACHAL PRADESH,2003,0,9,9,0,0,0,0,0,0,0,0,18,65.55,44.70,55.79,83743.00,594390.23,535583.04,1129973.27,901072.07,235996.18
ARUNACHAL PRADESH,2004,0,11,8,0,0,0,0,0,0,0,3,22,66.43,45.29,56.54,83743.00,604435.43,544634.39,1149069.82,916300.19,239984.51
ARUNACHAL PRADESH,2005,0,10,12,0,0,0,0,0,0,0,0,22,67.31,45.89,57.29,83743.00,614227.28,553457.47,1167684.75,931144.25,243872.26
ARUNACHAL PRADESH,2006,0,0,27,0,0,0,0,0,0,0,0,27,68.19,46.49,58.04,83743.00,623686.38,561980.71,1185667.09,945483.87,247627.89
ARUNACHAL PRADESH,2007,0,1,3,0,0,0,0,0,0,0,0,4,69.07,47.09,58.79,83743.00,632916.94,570298.03,1203214.97,959477.03,251292.79
ARUNACHAL PRADESH,2008,0,11,13,0,0,0,0,0,0,0,0,24,69.95,47.69,59.53,83743.00,641967.65,578453.29,1220420.94,973197.55,254886.27
ARUNACHAL PRADESH,2009,0,16,17,0,0,0,0,0,0,0,0,33,70.83,48.29,60.28,83743.00,650955.20,586551.63,1237506.83,986822.32,258454.68
ARUNACHAL PRADESH,2010,0,12,5,0,0,0,0,0,0,0,3,20,71.71,48.89,61.03,83743.00,660003.48,594704.70,1254708.18,1000539.15,262047.20
ARUNACHAL PRADESH,2011,0,20,15,0,0,0,0,0,0,0,0,35,72.59,49.49,61.78,83743.00,669045.52,602852.16,1271897.68,1014246.54,265637.25
ASSAM,2001,0,0,18,0,0,0,0,0,0,0,0,18,72.28,55.35,64.17,78438.00,14034600.60,13080633.88,27132661.95,23631859.56,3500802.40
ASSAM,2002,2,3,1,0,0,0,6,0,0,1,1,14,73.26,56.10,65.04,78438.00,14278802.65,13308236.91,27604770.27,24043053.91,3561716.36
ASSAM,2003,2,5,0,0,0,0,12,0,0,0,0,19,74.24,56.85,65.91,78438.00,14520114.42,13533146.12,28071290.89,24449381.52,3621909.36
ASSAM,2004,1,7,3,0,0,0,8,0,1,1,0,21,75.22,57.60,66.78,78438.00,14755340.27,13752383.08,28526045.80,24845461.50,3680584.30
ASSAM,2005,13,90,18,1,5,0,0,0,2,0,70,199,76.21,58.36,67.66,78438.00,14982572.51,13964169.78,28965346.90,25228081.61,3737265.29
ASSAM,2006,11,61,25,1,5,0,0,0,1,1,147,252,77.19,59.11,68.53,78438.00,15204314.58,14170839.50,29394034.04,25601457.22,3792576.82
ASSAM,2007,2,34,29,0,0,0,0,0,0,1,101,167,78.17,59.86,69.40,78438.00,15421736.28,14373482.50,29814368.73,25967558.06,3846810.67
ASSAM,2008,1,27,7,0,0,0,0,0,0,1,147,183,79.16,60.62,70.27,78438.00,15637640.59,14574711.26,30231769.89,26331103.87,3900666.02
ASSAM,2010,10,39,17,0,0,0,75,0,3,0,53,197,80.14,61.37,71.15,78438.00,15855003.80,14777299.74,30651991.49,26697106.21,3954885.28
ASSAM,2011,8,40,29,0,0,0,142,0,0,0,17,236,81.12,62.12,72.02,78438.00,16072217.35,14979748.75,31071923.77,27062856.57,4009067.20
BIHAR,2001,2,16,26,0,0,1,16,1,1,2,18,83,59.70,33.10,47.00,94163.00,43153964.00,39724832.00,82998509.00,74316709.00,8681800.00
BIHAR,2002,10,3,26,1,0,1,9,0,0,1,6,57,60.52,33.55,47.64,94163.00,43926419.96,40435906.49,84484182.31,75646978.09,8837204.22
BIHAR,2003,8,3,33,0,0,1,1,0,0,0,10,56,61.34,34.01,48.29,94163.00,44690739.66,41139491.27,85954207.08,76963235.51,8990971.57
BIHAR,2004,9,3,29,1,0,1,7,0,1,3,5,59,62.16,34.47,48.94,94163.00,45446013.16,41834748.67,87406833.18,78263914.19,9142918.99
BIHAR,2005,26,8,72,0,0,0,5,0,0,4,0,115,62.98,34.92,49.58,94163.00,46182238.58,42512471.60,88822823.88,79531789.60,9291034.28
BIHAR,2006,12,17,25,0,0,0,4,0,0,2,6,66,63.81,35.38,50.23,94163.00,46893445.05,43167163.66,90190695.37,80756579.16,9434116.21
BIHAR,2007,88,110,421,0,0,0,36,0,1,8,11,675,64.63,35.83,50.88,94163.00,47587468.04,43806037.68,91525517.66,81951776.53,9573741.13
BIHAR,2008,116,91,496,0,0,0,45,0,0,8,10,766,65.45,36.29,51.53,94163.00,48267968.83,44432464.02,92834332.56,83123686.94,9710645.63
BIHAR,2009,126,63,722,5,0,0,58,0,0,0,42,1016,66.28,36.75,52.18,94163.00,48943720.39,45054518.52,94134013.22,84287418.55,9846594.67
BIHAR,2010,202,114,1359,0,0,0,152,0,0,8,8,1843,67.10,37.20,52.83,94163.00,49624038.11,45680776.32,95442476.00,85459013.67,9983462.33
BIHAR,2011,124,91,1821,1,0,1,183,1,1,0,10,2233,67.92,37.66,53.47,94163.00,50303887.43,46306602.96,96750037.92,86629802.16,10120235.77
CHANDIGARH,2001,0,8,32,0,0,5,0,0,0,2,11,58,86.10,76.50,81.90,114.00,508224.00,392690.00,900635.00,92120.00,808515.00
CHANDIGARH,2002,3,6,22,0,1,8,0,0,0,0,9,49,87.28,77.55,83.02,114.00,517321.21,399719.15,916756.37,93768.95,822987.42
CHANDIGARH,2003,3,9,14,0,0,11,0,0,0,0,3,40,88.47,78.60,84.15,114.00,526322.60,406674.26,932707.93,95400.53,837307.40
CHANDIGARH,2004,3,13,36,0,0,11,0,0,0,0,3,66,89.65,79.66,85.28,114.00,535217.45,413547.06,948470.69,97012.80,851457.89
CHANDIGARH,2005,3,21,23,0,0,7,0,0,0,0,3,57,90.84,80.71,86.40,114.00,543887.97,420246.52,963835.92,98584.40,865251.51
CHANDIGARH,2006,1,8,43,0,0,11,0,0,0,0,1,64,92.03,81.76,87.54,114.00,552263.85,426718.32,978678.99,100102.60,878576.39
CHANDIGARH,2007,1,8,30,0,1,12,0,0,0,0,1,53,93.21,82.82,88.67,114.00,560437.35,433033.75,993163.44,101584.12,891579.32
CHANDIGARH,2008,0,10,36,0,0,11,0,0,0,0,9,66,94.40,83.87,89.79,114.00,568451.61,439226.13,1007365.68,103036.78,904328.90
CHANDIGARH,2009,1,21,27,0,0,9,0,0,0,0,13,71,95.59,84.93,90.92,114.00,576409.93,445375.30,1021468.80,104479.29,916989.51
CHANDIGARH,2010,1,16,23,0,0,6,0,0,0,0,13,59,96.77,85.98,92.05,114.00,584422.03,451566.01,1035667.21,105931.55,929735.66
CHANDIGARH,2011,3,15,40,0,0,7,0,0,0,0,9,74,97.96,87.04,93.18,114.00,592428.61,457752.47,1049855.85,107382.81,942473.04
CHHATTISGARH,2002,28,182,45,0,1,17,0,0,0,26,434,733,78.46,52.61,65.59,135191.00,10639524.43,10528679.19,21206728.07,16946056.20,4260671.87
CHHATTISGARH,2003,29,186,45,6,4,3,0,0,0,6,335,614,79.53,53.33,66.48,135191.00,10824652.15,10711878.20,21575725.14,17240917.58,4334807.56
CHHATTISGARH,2004,44,308,70,6,6,14,1,0,0,14,477,940,80.59,54.04,67.37,135191.00,11007588.77,10892908.95,21940354.90,17532289.09,4408065.81
CHHATTISGARH,2005,37,382,110,21,8,6,0,0,0,3,430,997,81.66,54.75,68.26,135191.00,11185911.71,11069374.07,22295788.65,17816312.17,4479476.48
CHHATTISGARH,2006,48,448,113,5,1,14,0,0,0,5,604,1238,82.73,55.47,69.15,135191.00,11358174.75,11239842.43,22639143.79,18090683.38,4548460.41
CHHATTISGARH,2007,45,368,103,10,3,7,3,0,0,4,481,1024,83.79,56.19,70.04,135191.00,11526275.74,11406192.10,22974203.12,18358425.49,4615777.63
CHHATTISGARH,2008,52,411,96,9,3,3,3,0,1,5,584,1167,84.86,56.90,70.93,135191.00,11691101.48,11569300.65,23302734.22,18620950.98,4681783.25
CHHATTISGARH,2009,47,394,121,7,4,3,5,0,0,2,738,1321,85.93,57.62,71.83,135191.00,11854776.90,11731270.86,23628972.50,18881644.29,4747328.21
CHHATTISGARH,2010,52,382,186,9,1,6,11,0,0,2,814,1463,86.99,58.33,72.72,135191.00,12019558.30,11894335.52,23957415.22,19144099.15,4813316.08
CHHATTISGARH,2011,59,477,283,21,5,7,15,0,1,5,909,1782,88.06,59.05,73.61,135191.00,12184226.25,12057287.92,24285631.81,19406373.30,4879258.51
D & N HAVELI,2001,0,0,0,0,0,0,0,0,0,0,0,0,73.30,43.00,60.00,603.00,121731.00,98720.00,220490.00,170027.00,50463.00
D & N HAVELI,2002,0,0,0,0,0,0,0,0,0,0,0,0,74.30,43.59,60.82,603.00,123909.98,100487.09,224436.77,173070.48,51366.29
D & N HAVELI,2003,0,0,1,0,0,0,0,0,0,0,0,1,75.31,44.18,61.65,603.00,126066.02,102235.56,228341.97,176081.91,52260.06
D & N HAVELI,2004,3,0,7,1,0,0,0,0,0,0,0,11,76.32,44.77,62.48,603.00,128196.53,103963.34,232200.95,179057.69,53143.26
D & N HAVELI,2005,1,0,4,0,0,0,0,0,0,0,0,5,77.33,45.36,63.30,603.00,130273.32,105647.55,235962.61,181958.43,54004.18
D & N HAVELI,2006,1,3,10,0,0,1,0,0,0,0,0,15,78.34,45.96,64.13,603.00,132279.53,107274.52,239596.43,184760.59,54835.84
D & N HAVELI,2007,1,3,6,0,0,1,0,0,0,0,0,11,79.36,46.55,64.96,603.00,134237.26,108862.19,243142.46,187495.05,55647.41
D & N HAVELI,2008,1,3,11,0,0,0,0,0,0,0,2,17,80.36,47.14,65.78,603.00,136156.86,110418.92,246619.39,190176.22,56443.17
D & N HAVELI,2009,1,2,8,0,0,0,0,0,0,0,0,11,81.38,47.74,66.61,603.00,138063.05,111964.78,250072.07,192838.69,57233.37
D & N HAVELI,2010,0,3,10,0,0,0,0,0,0,0,0,13,82.38,48.33,67.44,603.00,139982.13,113521.09,253548.07,195519.15,58028.92
D & N HAVELI,2011,2,1,8,0,0,0,0,0,0,0,0,11,83.40,48.92,68.27,603.00,141899.88,115076.33,257021.68,198197.76,58823.91
DAMAN & DIU,2001,0,0,0,0,0,0,0,0,0,0,0,0,88.40,70.40,81.10,603.00,92478.00,65581.00,158204.00,100856.00,57348.00
DAMAN & DIU,2002,0,0,0,0,0,0,0,0,0,0,0,0,89.61,71.36,82.21,603.00,94133.36,66754.90,161035.85,102661.32,58374.53
DAMAN & DIU,2003,0,4,1,0,0,0,0,0,0,0,1,6,90.83,72.34,83.33,603.00,95771.28,67916.44,163837.88,104447.63,59390.25
DAMAN & DIU,2004,0,1,0,0,0,1,0,0,0,0,0,2,92.05,73.30,84.45,603.00,97389.81,69064.22,166606.74,106212.79,60393.94
DAMAN & DIU,2005,1,1,2,0,0,1,0,0,0,0,0,5,93.26,74.27,85.56,603.00,98967.53,70183.06,169305.76,107933.44,61372.32
DAMAN & DIU,2006,1,1,1,0,0,0,0,0,0,0,0,3,94.48,75.24,86.68,603.00,100491.63,71263.88,171913.07,109595.62,62317.46
DAMAN & DIU,2007,2,0,0,0,0,1,0,0,0,0,0,3,95.70,76.22,87.80,603.00,101978.90,72318.59,174457.39,111217.63,63239.76
DAMAN & DIU,2008,0,0,0,0,0,0,0,0,0,0,4,4,96.92,77.18,88.91,603.00,103437.20,73352.74,176952.13,112808.04,64144.08
DAMAN & DIU,2009,0,1,0,0,0,0,0,0,0,0,1,2,98.14,78.16,90.03,603.00,104885.32,74379.68,179429.46,114387.36,65042.10
DAMAN & DIU,2010,0,1,1,0,0,0,0,0,0,0,0,2,99.36,79.13,91.15,603.00,106343.23,75413.56,181923.53,115977.34,65946.19
DAMAN & DIU,2011,0,0,2,0,0,1,0,0,0,0,0,3,100.58,80.10,92.27,603.00,107800.13,76446.73,184415.88,117566.23,66849.65
DELHI,2008,41,301,1208,2,0,25,0,0,0,1,276,1854,95.71,81.90,89.57,1484.00,8468086.10,6948255.63,15491875.56,1056682.84,14435192.72
DELHI,2009,74,307,2248,0,0,28,1,0,2,0,179,2839,96.92,82.93,90.70,1484.00,8586639.30,7045531.21,15708761.82,1071476.40,14637285.41
DELHI,2010,29,304,2982,7,0,45,0,0,4,0,259,3630,98.12,83.96,91.83,1484.00,8705993.59,7143464.09,15927113.61,1086369.93,14840743.68
DELHI,2011,39,339,3528,5,0,68,3,0,2,0,266,4250,99.33,84.99,92.96,1484.00,8825265.70,7241329.55,16145315.06,1101253.19,15044061.87
GOA,2001,1,10,6,0,0,3,2,0,0,0,12,34,88.40,75.40,81.10,3702.00,685617.00,658381.00,1347668.00,677091.00,670577.00
GOA,2002,2,7,4,0,0,5,2,0,0,0,11,31,89.61,76.43,82.21,3702.00,697889.54,670166.02,1371791.26,689210.93,682580.33
GOA,2003,0,22,9,0,0,5,5,0,0,0,16,57,90.83,77.47,83.33,3702.00,710032.82,681826.91,1395660.43,701203.20,694457.23
GOA,2004,2,20,9,0,0,1,1,0,0,0,20,53,92.05,78.51,84.45,3702.00,722032.38,693349.78,1419247.09,713053.53,706193.55
GOA,2005,4,15,11,0,0,2,0,0,0,0,21,53,93.26,79.55,85.56,3702.00,733729.30,704582.05,1442238.89,724605.00,717633.89
GOA,2006,3,14,10,0,1,8,1,0,0,0,17,54,94.48,80.59,86.68,3702.00,745028.73,715432.61,1464449.37,735763.92,728685.45
GOA,2007,3,15,7,0,0,6,0,0,0,0,39,70,95.70,81.63,87.80,3702.00,756055.16,726021.02,1486123.22,746653.22,739470.00
GOA,2008,3,18,24,0,1,2,0,0,0,1,31,80,96.92,82.67,88.91,3702.00,766866.75,736403.12,1507374.78,757330.36,750044.42
GOA,2009,3,30,21,0,0,6,0,0,0,0,32,92,98.14,83.71,90.03,3702.00,777602.88,746712.76,1528478.03,767932.99,760545.04
GOA,2010,2,23,14,0,1,4,1,0,0,0,34,79,99.36,84.74,91.15,3702.00,788411.56,757092.07,1549723.87,778607.26,771116.61
GOA,2011,2,20,17,0,2,4,0,0,0,0,30,75,100.58,85.79,92.27,3702.00,799212.80,767464.23,1570955.09,789274.18,781680.91
GUJARAT,2001,78,39,120,4,0,112,18,0,0,11,190,572,80.50,58.60,70.00,196024.00,26344053.00,24252939.00,50671017.00,31740767.00,18930250.00
GUJARAT,2002,68,67,273,9,1,76,0,0,0,38,178,710,81.60,59.40,70.96,196024.00,26815611.55,24687066.61,51578028.20,32308926.73,19269101.48
GUJARAT,2003,49,75,267,4,0,82,2,0,0,11,175,665,82.71,60.21,71.92,196024.00,27282203.19,25116621.57,52475485.90,32871102.05,19604383.84
GUJARAT,2004,74,96,300,0,1,95,5,0,0,30,198,799,83.82,61.02,72.89,196024.00,27743272.42,25541092.47,53362321.61,33426623.68,19935697.93
GUJARAT,2005,76,90,285,4,1,141,12,0,0,25,202,836,84.93,61.82,73.85,196024.00,28192713.44,25954858.17,54226791.22,33968134.98,20258656.23
GUJARAT,2006,87,112,360,6,1,150,9,0,0,12,240,977,86.04,62.63,74.82,196024.00,28626881.22,26354562.99,55061883.80,34491244.26,20570639.54
GUJARAT,2007,83,98,436,1,0,149,25,0,0,14,304,1110,87.15,63.44,75.78,196024.00,29050559.07,26744610.52,55876799.68,35001714.68,20875085.01
GUJARAT,2008,59,99,521,1,0,156,7,0,0,23,208,1074,88.26,64.25,76.74,196024.00,29465982.06,27127058.45,56675837.92,35502239.20,21173598.72
GUJARAT,2009,67,91,503,3,0,129,2,0,1,0,172,968,89.37,65.06,77.71,196024.00,29878505.81,27506837.27,57469299.65,35999270.55,21470029.10
GUJARAT,2010,66,102,565,10,10,121,0,0,0,14,118,1006,90.48,65.86,78.68,196024.00,30293817.04,27889182.30,58268122.91,36499660.41,21768462.51
GUJARAT,2011,69,130,605,0,1,105,4,0,0,13,204,1131,91.59,66.67,79.64,196024.00,30708842.33,28271264.10,59066396.20,36999705.75,22066690.44
HARYANA,2001,31,108,124,3,0,16,5,0,2,0,74,363,78.50,45.70,67.90,44212.00,11327658.00,9755331.00,21144564.00,15029260.00,6115304.00
HARYANA,2002,22,84,54,6,0,15,0,0,1,1,52,235,79.58,46.33,68.83,44212.00,11530423.08,9929951.42,21523051.70,15298283.75,6224767.94
HARYANA,2003,24,77,92,2,0,24,3,0,0,3,62,287,80.66,46.96,69.77,44212.00,11731052.44,10102732.58,21897552.80,15564473.89,6333078.90
HARYANA,2004,23,24,42,15,1,15,0,0,0,2,42,164,81.74,47.59,70.70,44212.00,11929307.23,10273468.76,22267621.44,15827513.50,6440107.94
HARYANA,2005,38,131,101,8,0,32,0,0,0,7,57,374,82.82,48.21,71.63,44212.00,12122562.00,10439898.95,22628356.90,16083919.22,6544437.69
HARYANA,2006,29,176,158,9,0,24,0,0,0,7,59,462,83.90,48.85,72.57,44212.00,12309249.46,10600673.40,22976833.60,16331611.57,6645222.03
HARYANA,2007,20,122,107,4,1,12,0,0,0,4,55,325,84.98,49.48,73.51,44212.00,12491426.35,10757563.36,23316890.74,16573319.43,6743571.31
HARYANA,2008,25,70,104,5,0,13,0,0,0,4,48,269,86.06,50.10,74.44,44212.00,12670053.75,10911396.52,23650322.28,16810317.89,6840004.38
HARYANA,2009,19,116,149,3,1,20,0,0,0,0,45,353,87.15,50.73,75.38,44212.00,12847434.50,11064156.07,23981426.79,17045662.34,6935764.44
HARYANA,2010,29,107,123,2,0,24,0,0,0,0,18,303,88.23,51.36,76.32,44212.00,13026013.84,11217947.84,24314768.62,17282597.05,7032171.57
HARYANA,2011,14,66,144,5,4,15,0,2,2,6,22,280,89.31,52.00,77.25,44212.00,13204470.23,11371633.73,24647880.95,17519368.63,7128512.32
HIMACHAL PRADESH,2001,5,35,20,0,0,15,0,0,0,0,7,82,85.40,67.40,76.50,55673.00,3085256.00,2991992.00,6077900.00,5482319.00,595581.00
HIMACHAL PRADESH,2002,5,26,24,6,0,8,3,0,0,3,16,91,86.57,68.32,77.55,55673.00,3140482.08,3045548.66,6186694.41,5580452.51,606241.90
HIMACHAL PRADESH,2003,5,36,23,0,0,11,4,0,1,1,28,109,87.75,69.25,78.60,55673.00,3195126.47,3098541.20,6294342.89,5677552.38,616790.51
HIMACHAL PRADESH,2004,5,32,26,2,0,13,0,0,0,2,12,92,88.92,70.18,79.66,55673.00,3249124.11,3150906.55,6400717.29,5773503.02,627214.27
HIMACHAL PRADESH,2005,6,58,37,1,0,12,0,0,0,3,14,131,90.10,71.11,80.71,55673.00,3301759.92,3201951.24,6504408.91,5867033.77,637375.14
HIMACHAL PRADESH,2006,4,41,52,5,1,12,2,0,0,1,18,136,91.28,72.04,81.76,55673.00,3352607.02,3251261.28,6604576.80,5957386.09,647190.72
HIMACHAL PRADESH,2007,6,48,61,1,0,6,2,0,0,1,26,151,92.45,72.97,82.82,55673.00,3402225.61,3299379.95,6702324.54,6045555.40,656769.14
HIMACHAL PRADESH,2008,8,68,78,2,2,5,2,0,0,2,38,205,93.63,73.89,83.87,55673.00,3450877.43,3346561.09,6798167.78,6132006.84,666160.94
HIMACHAL PRADESH,2009,9,83,72,1,1,5,6,0,0,0,44,221,94.81,74.83,84.93,55673.00,3499189.72,3393412.94,6893342.13,6217854.94,675487.19
HIMACHAL PRADESH,2010,6,72,86,0,1,4,3,0,0,5,69,246,95.98,75.75,85.98,55673.00,3547828.45,3440581.38,6989159.59,6304283.12,684876.46
HIMACHAL PRADESH,2011,6,72,108,0,1,8,3,0,0,0,63,261,97.16,76.69,87.04,55673.00,3596433.70,3487717.35,7084911.07,6390651.80,694259.27
JAMMU & KASHMIR,2001,2,6,15,0,0,4,0,0,0,0,1,28,66.60,43.00,55.50,42241.00,5300574.00,4769343.00,10143700.00,7627062.00,2516638.00
JAMMU & KASHMIR,2002,2,7,23,2,0,4,0,0,0,0,4,42,67.51,43.59,56.26,42241.00,5395454.27,4854714.24,10325272.23,7763586.41,2561685.82
JAMMU & KASHMIR,2003,0,2,38,0,0,2,0,0,0,0,7,49,68.43,44.18,57.03,42241.00,5489335.18,4939186.27,10504931.97,7898672.81,2606259.15
JAMMU & KASHMIR,2004,1,4,27,0,0,1,0,0,0,0,2,35,69.35,44.77,57.79,42241.00,5582104.94,5022658.52,10682465.32,8032160.38,2650304.93
JAMMU & KASHMIR,2005,4,4,48,0,0,0,0,0,0,0,1,57,70.26,45.36,58.55,42241.00,5672535.04,5104025.58,10855521.26,8162281.38,2693239.87
JAMMU & KASHMIR,2006,3,8,72,0,0,1,0,0,0,0,1,85,71.18,45.96,59.32,42241.00,5759892.08,5182627.58,11022696.28,8287980.52,2734715.77
JAMMU & KASHMIR,2007,0,12,8,0,0,1,0,0,0,0,5,26,72.10,46.55,60.08,42241.00,5845138.49,5259330.47,11185832.19,8410642.63,2775189.56
JAMMU & KASHMIR,2008,0,5,3,0,0,1,0,0,0,0,1,10,73.02,47.14,60.85,42241.00,5928723.97,5334538.89,11345789.59,8530914.82,2814874.77
JAMMU & KASHMIR,2009,3,4,10,0,0,0,0,0,0,0,1,18,73.94,47.74,61.61,42241.00,6011726.10,5409222.44,11504630.64,8650347.62,2854283.02
JAMMU & KASHMIR,2010,1,8,5,1,0,0,0,0,0,0,2,17,74.85,48.33,62.38,42241.00,6095289.09,5484410.63,11664545.01,8770587.46,2893957.55
JAMMU & KASHMIR,2011,4,9,5,1,0,1,0,0,0,0,5,25,75.77,48.92,63.15,42241.00,6178794.56,5559547.05,11824349.27,8890744.50,2933604.77
JHARKHAND,2001,5,11,4,0,0,0,1,0,0,0,20,41,67.30,38.90,53.60,79716.00,13861277.00,13048151.00,26945829.00,20952088.00,5993741.00
JHARKHAND,2002,3,43,21,0,0,0,5,0,0,0,39,111,68.22,39.43,54.33,79716.00,14109393.86,13281712.90,27428159.34,21327130.38,6101028.96
JHARKHAND,2003,7,16,3,1,0,0,5,0,0,0,3,35,69.15,39.97,55.07,79716.00,14354897.31,13512814.71,27905409.31,21698222.44,6207186.87
JHARKHAND,2004,6,43,18,1,0,0,5,0,0,0,39,112,70.08,40.50,55.81,79716.00,14597495.08,13741181.28,28377010.73,22064922.40,6312088.33
JHARKHAND,2005,33,22,11,0,0,0,4,0,0,0,27,97,71.00,41.04,56.55,79716.00,14833974.50,13963788.41,28836718.30,22422374.15,6414344.16
JHARKHAND,2006,10,28,11,1,0,0,26,0,0,0,36,112,71.93,41.58,57.29,79716.00,15062417.70,14178830.75,29280803.76,22767678.71,6513125.06
JHARKHAND,2007,3,23,7,0,0,0,25,0,0,4,12,74,72.86,42.11,58.03,79716.00,15285341.49,14388677.45,29714159.66,23104640.35,6609519.31
JHARKHAND,2008,4,8,18,0,0,1,18,1,0,0,21,71,73.78,42.65,58.76,79716.00,15503921.87,14594435.54,30139072.14,23435036.71,6704035.43
JHARKHAND,2009,11,8,8,0,0,0,0,0,0,0,33,60,74.71,43.19,59.51,79716.00,15720976.77,14798757.63,30561019.15,23763127.22,6797891.93
JHARKHAND,2010,4,0,6,0,0,0,21,3,1,0,19,54,75.64,43.72,60.24,79716.00,15939498.35,15004460.37,30985817.32,24093434.69,6892382.63
JHARKHAND,2011,5,16,18,1,0,1,15,1,6,0,22,85,76.57,44.26,60.98,79716.00,16157869.48,15210021.47,31410323.02,24423514.75,6986808.27
KARNATAKA,2001,3,18,18,1,0,15,1,0,2,1,9,68,76.10,56.90,66.60,191792.00,26856343.00,25877615.00,52850562.00,34889033.00,17961529.00
KARNATAKA,2002,28,19,23,7,0,10,7,0,1,1,18,114,77.14,57.68,67.51,191792.00,27337071.54,26340824.31,53796587.06,35513546.69,18283040.37
KARNATAKA,2003,23,25,29,0,0,11,1,0,0,2,25,116,78.19,58.46,68.43,191792.00,27812736.58,26799154.65,54732647.67,36131482.40,18601165.27
KARNATAKA,2004,54,42,41,4,1,17,4,0,0,1,25,189,79.24,59.25,69.35,191792.00,28282771.83,27252060.37,55657629.42,36742104.46,18915524.96
KARNATAKA,2005,47,48,35,7,1,18,7,0,0,3,25,191,80.29,60.03,70.26,191792.00,28740952.74,27693543.74,56559283.02,37337326.55,19221956.47
KARNATAKA,2006,63,84,62,13,0,31,2,0,0,6,15,276,81.34,60.82,71.18,191792.00,29183563.41,28120024.32,57430295.98,37912321.38,19517974.60
KARNATAKA,2007,53,84,62,7,0,25,8,0,0,4,23,266,82.39,61.60,72.10,191792.00,29615480.15,28536200.68,58280264.36,38473423.73,19806840.62
KARNATAKA,2008,84,97,99,5,1,31,4,0,0,9,58,388,83.43,62.38,73.02,191792.00,30038981.51,28944268.35,59113672.14,39023593.69,20090078.44
KARNATAKA,2009,60,104,67,7,1,21,4,0,1,3,40,308,84.48,63.17,73.94,191792.00,30459527.25,29349488.10,59941263.55,39569924.00,20371339.54
KARNATAKA,2010,45,108,125,4,0,30,21,0,0,8,68,409,85.53,63.95,74.85,191792.00,30882914.68,29757445.99,60774447.11,40119945.95,20654501.16
KARNATAKA,2011,52,97,109,1,0,21,8,0,1,12,33,334,86.58,64.74,75.77,191792.00,31306010.61,30165123.00,61607057.03,40669589.21,20937467.83
KERALA,2001,76,64,28,0,0,9,4,0,0,3,63,247,94.20,87.90,90.90,38863.00,15468664.00,16369955.00,31841374.00,23574449.00,8266925.00
KERALA,2002,64,54,31,2,0,9,6,0,0,6,68,240,95.49,89.10,92.15,38863.00,15745553.09,16662977.19,32411334.59,23996431.64,8414902.96
